bucket,method,k,silhouette
dense,kmeans,3,0.24428512731485785
dense,gmm,3,0.1999122181102069
dense,gmm,5,0.17414694157181912
dense,gmm,4,0.15285513435356507
dense,kmeans,6,0.11517478641755365
dense,kmeans,8,0.11025965190511956
dense,kmeans,5,0.10985118573188415
dense,kmeans,4,0.10711210762711584
dense,gmm,8,0.03278283458850336
dense,gmm,6,0.024555901496700828
dense,dbscan_eps0.3,0,-1.0
dense,dbscan_eps0.5,0,-1.0
dense,dbscan_eps0.8,0,-1.0
dense,hdbscan_mcs30,0,-1.0
dense,hdbscan_mcs50,0,-1.0
dense,hdbscan_mcs100,0,-1.0
high_zero,kmeans,3,0.9579603780785324
high_zero,kmeans,4,0.9519733530550525
high_zero,kmeans,5,0.9149071244980183
high_zero,kmeans,6,0.6787213780926385
high_zero,kmeans,8,0.6785769832638514
high_zero,gmm,4,0.15675681166509883
high_zero,gmm,3,0.10470795693433685
high_zero,gmm,8,0.07365751582254713
high_zero,gmm,6,0.04965343730364866
high_zero,gmm,5,0.04898599836365519
high_zero,dbscan_eps0.3,0,-1.0
high_zero,dbscan_eps0.5,0,-1.0
high_zero,dbscan_eps0.8,0,-1.0
high_zero,hdbscan_mcs30,0,-1.0
high_zero,hdbscan_mcs50,0,-1.0
high_zero,hdbscan_mcs100,0,-1.0
moderate_zero,kmeans,3,0.891358420758006
moderate_zero,kmeans,4,0.8910150818863358
moderate_zero,kmeans,5,0.8832768970185559
moderate_zero,kmeans,6,0.8815189283579034
moderate_zero,kmeans,8,0.7568911638730096
moderate_zero,gmm,5,-0.13792652804239372
moderate_zero,gmm,3,-0.1783164973482945
moderate_zero,gmm,4,-0.20096486728771698
moderate_zero,gmm,6,-0.2153979025668526
moderate_zero,gmm,8,-0.28015435454254844
moderate_zero,dbscan_eps0.3,0,-1.0
moderate_zero,dbscan_eps0.5,0,-1.0
moderate_zero,dbscan_eps0.8,0,-1.0
moderate_zero,hdbscan_mcs30,0,-1.0
moderate_zero,hdbscan_mcs50,0,-1.0
moderate_zero,hdbscan_mcs100,0,-1.0
